sonde,hr,tem,u_wind,v_wind,sid,sshs,rmw,quad,dist,duct
data/sondes/qc/HURR1_/g122455116QC.nc,0.0012309293202015681,205.520002746582,-6.442236,-6.1419125,2014212N11242,1.0,20.0,2,543.715275688219,True
data/sondes/qc/HURR1_/g122455118QC.nc,1.2414510485609223,287.6600002288818,19.914963,-17.311214,2012234N16315,1.0,45.0,3,191.35437585127323,False
data/sondes/qc/HURR1_/g122455119QC.nc,0.0021548591783944475,211.42000045776365,-6.5029726,13.420265,2012234N16315,0.0,45.0,3,132.42612211637646,False
data/sondes/qc/HURR1_/g122455120QC.nc,1.007018593476921,286.42999973297117,1.7158815,-8.066277,2012296N14283,1.0,50.0,3,240.74550004474287,True
data/sondes/qc/HURR1_/g122455122QC.nc,0.003176922768312344,212.6200012207031,9.88301,14.243083,2012296N14283,1.0,100.0,2,239.37579412083505,False
data/sondes/qc/HURR1_/g122455123QC.nc,0.0017600516219937875,207.84000244140623,2.0173187,10.341618,2012296N14283,0.0,70.0,4,299.1671916122507,True
data/sondes/qc/HURR1_/g122455124QC.nc,0.0031405028373578015,217.05000152587888,15.200002,8.087799,2012296N14283,1.0,90.0,3,447.11065027508874,False
data/sondes/qc/HURR1_/g122455126QC.nc,0.0016370640955348753,214.6200012207031,19.489025,-11.701048,2014212N11242,1.0,20.0,2,998.3299361998303,True
data/sondes/qc/HURR1_/g122455127QC.nc,1.1240556945647369,289.2899993896484,4.010918,16.105125,2012234N16315,-1.0,125.0,4,752.4274888037007,True
data/sondes/qc/HURR1_/g122455127QC1.nc,1.1240556945647369,289.2899993896484,4.010918,16.105125,2012234N16315,-1.0,125.0,4,752.4274888037007,True
data/sondes/qc/HURR1_/g122455128QC.nc,0.0024682730383534727,211.28999938964841,23.087185,19.705738,2012296N14283,1.0,72.0,2,610.4405936355997,False
data/sondes/qc/HURR1_/g122455129QC.nc,0.0027924015966426657,216.3700012207031,21.42028,15.774872,2012296N14283,1.0,90.0,3,710.2188144041916,True
data/sondes/qc/HURR1_/g122455130QC.nc,0.0022441477361941787,209.26000061035154,16.439896,21.19005,2012296N14283,1.0,90.0,4,521.9431265849286,True
data/sondes/qc/HURR1_/g122455131QC.nc,0.0023992013462270697,206.10999908447263,6.595135,-0.8449926,2012234N16315,0.0,50.0,1,459.6250101179005,True
data/sondes/qc/HURR1_/g122455132QC.nc,0.8479215691741633,287.65,20.023659,26.506956,2012234N16315,0.0,30.0,4,212.8142965110605,False
data/sondes/qc/HURR1_/g122455135QC.nc,0.0029079184378104756,215.17999877929685,19.047161,11.692581,2012296N14283,1.0,90.0,3,946.0707792235489,True
data/sondes/qc/HURR1_/g122455136QC.nc,1.23834400313191,284.9600004196167,-14.662577,-35.131668,2012234N16315,1.0,40.0,3,32.99415937218536,False
data/sondes/qc/HURR1_/g122455137QC.nc,0.0023822985209451183,204.41000213623045,-2.2043357,1.5320069,2012242N13333,0.0,70.0,1,173.39267959263398,False
data/sondes/qc/HURR1_/g122455138QC.nc,0.0015965796764446673,208.0699981689453,10.653008,8.431683,2012234N16315,0.0,50.0,1,885.7849968226584,False
data/sondes/qc/HURR1_/g122455139QC.nc,0.0027780095234244025,209.64999999999998,0.75339395,2.0129182,2012234N16315,0.0,50.0,4,502.0190768495325,False
data/sondes/qc/HURR1_/g122455140QC.nc,0.0011297115407043765,205.020002746582,-9.005134,-5.963432,2014212N11242,1.0,20.0,2,715.4505002272929,True
